ProductID,ProductName,Category,SubCategory,SupplierID,BasePrice,LeadTimeDays
P1000,ELE-AUD-1000,Electronics,Audio,S7,3623.25,18
P1001,ELE-MOB-1001,Electronics,Mobile Accessories,S8,934.58,20
P1002,ELE-WEA-1002,Electronics,Wearables,S8,6331.3,5
P1003,ELE-AUD-1003,Electronics,Audio,S3,3092.22,19
P1004,ELE-MOB-1004,Electronics,Mobile Accessories,S9,6617.54,10
P1005,ELE-WEA-1005,Electronics,Wearables,S14,4525.76,4
P1006,ELE-AUD-1006,Electronics,Audio,S3,5126.98,16
P1007,ELE-MOB-1007,Electronics,Mobile Accessories,S7,7771.44,19
P1008,ELE-WEA-1008,Electronics,Wearables,S6,1718.18,11
P1009,ELE-AUD-1009,Electronics,Audio,S12,1403.46,15
P1010,HOM-COO-1010,Home & Kitchen,Cookware,S7,7746.58,8
P1011,HOM-STO-1011,Home & Kitchen,Storage,S12,3862.54,6
P1012,HOM-SMA-1012,Home & Kitchen,Small Appliances,S5,3910.5,7
P1013,HOM-COO-1013,Home & Kitchen,Cookware,S3,3609.78,17
P1014,HOM-STO-1014,Home & Kitchen,Storage,S12,2636.46,17
P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,S14,3222.33,8
P1016,HOM-COO-1016,Home & Kitchen,Cookware,S13,1290.07,6
P1017,HOM-STO-1017,Home & Kitchen,Storage,S12,6338.01,14
P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,S9,6289.69,11
P1019,HOM-COO-1019,Home & Kitchen,Cookware,S4,1290.42,5
P1020,FAS-MEN-1020,Fashion,Men's Apparel,S13,3874.55,13
P1021,FAS-WOM-1021,Fashion,Women's Apparel,S9,5150.8,12
P1022,FAS-FOO-1022,Fashion,Footwear,S10,2570.81,3
P1023,FAS-MEN-1023,Fashion,Men's Apparel,S5,1873.76,10
P1024,FAS-WOM-1024,Fashion,Women's Apparel,S13,2024.73,4
P1025,FAS-FOO-1025,Fashion,Footwear,S7,2490.03,14
P1026,FAS-MEN-1026,Fashion,Men's Apparel,S15,6314.41,14
P1027,FAS-WOM-1027,Fashion,Women's Apparel,S5,6549.36,6
P1028,FAS-FOO-1028,Fashion,Footwear,S12,902.37,16
P1029,FAS-MEN-1029,Fashion,Men's Apparel,S14,1457.92,12
P1030,BEA-SKI-1030,Beauty,Skincare,S8,5631.3,11
P1031,BEA-HAI-1031,Beauty,Haircare,S11,2551.79,14
P1032,BEA-SKI-1032,Beauty,Skincare,S6,883.67,5
P1033,BEA-HAI-1033,Beauty,Haircare,S8,7286.93,15
P1034,BEA-SKI-1034,Beauty,Skincare,S4,7759.58,17
P1035,BEA-HAI-1035,Beauty,Haircare,S12,3705.02,7
P1036,BEA-SKI-1036,Beauty,Skincare,S2,7240.3,11
P1037,BEA-HAI-1037,Beauty,Haircare,S13,2586.46,13
P1038,BEA-SKI-1038,Beauty,Skincare,S1,6881.59,16
P1039,BEA-HAI-1039,Beauty,Haircare,S5,3570.33,14
P1040,SPO-FIT-1040,Sports,Fitness Equipment,S10,5268.8,4
P1041,SPO-OUT-1041,Sports,Outdoor Gear,S3,524.59,11
P1042,SPO-FIT-1042,Sports,Fitness Equipment,S11,1327.29,4
P1043,SPO-OUT-1043,Sports,Outdoor Gear,S5,1530.63,19
P1044,SPO-FIT-1044,Sports,Fitness Equipment,S10,2905.58,13
P1045,SPO-OUT-1045,Sports,Outdoor Gear,S7,7676.76,11
P1046,SPO-FIT-1046,Sports,Fitness Equipment,S5,845.29,11
P1047,SPO-OUT-1047,Sports,Outdoor Gear,S3,7515.05,13
P1048,SPO-FIT-1048,Sports,Fitness Equipment,S15,2282.41,8
P1049,SPO-OUT-1049,Sports,Outdoor Gear,S5,3623.51,3
