OrderID,OrderDate,ProductID,ProductName,Category,SubCategory,Quantity,UnitPrice,Discount,CustomerID,Region,InventoryAtStart,ReorderPoint,LeadTimeDays,SupplierID
O1,2024-04-01,P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,2,6389.96,0.0,C4382,West,368,35,11,S9
O2,2024-04-01,P1035,BEA-HAI-1035,Beauty,Haircare,2,3657.2,0.0,C647,West,240,67,7,S12
O3,2024-04-01,P1042,SPO-FIT-1042,Sports,Fitness Equipment,3,1385.17,0.0,C1085,North,99,34,4,S11
O4,2024-04-01,P1045,SPO-OUT-1045,Sports,Outdoor Gear,13,7477.91,0.15,C2611,North,52,69,11,S7
O5,2024-04-01,P1029,FAS-MEN-1029,Fashion,Men's Apparel,1,1512.53,0.0,C269,South,114,79,12,S14
O6,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,3,2457.84,0.0,C4665,East,485,22,14,S11
O7,2024-04-01,P1024,FAS-WOM-1024,Fashion,Women's Apparel,1,1963.94,0.0,C5186,West,405,20,4,S13
O8,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,1,1854.57,0.15,C4434,South,83,46,10,S5
O9,2024-04-01,P1005,ELE-WEA-1005,Electronics,Wearables,7,4489.15,0.0,C40,East,483,26,4,S14
O10,2024-04-01,P1028,FAS-FOO-1028,Fashion,Footwear,7,911.94,0.0,C5599,West,381,54,16,S12
O11,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,3,7735.61,0.1,C3187,North,138,79,19,S7
O12,2024-04-01,P1006,ELE-AUD-1006,Electronics,Audio,1,5175.4,0.0,C4477,North,112,68,16,S3
O13,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6597.83,0.0,C3592,South,99,52,5,S8
O14,2024-04-01,P1030,BEA-SKI-1030,Beauty,Skincare,2,5379.8,0.0,C922,East,267,59,11,S8
O15,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6568.73,0.0,C4756,North,428,47,5,S8
O16,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,2,7421.15,0.0,C1089,South,464,49,19,S7
O17,2024-04-01,P1048,SPO-FIT-1048,Sports,Fitness Equipment,2,2190.91,0.15,C5023,Central,424,30,8,S15
O18,2024-04-01,P1016,HOM-COO-1016,Home & Kitchen,Cookware,4,1291.9,0.0,C5878,West,420,45,6,S13
O19,2024-04-01,P1020,FAS-MEN-1020,Fashion,Men's Apparel,3,3842.35,0.0,C3626,South,131,47,13,S13
O20,2024-04-01,P1037,BEA-HAI-1037,Beauty,Haircare,13,2647.21,0.0,C2199,North,306,60,13,S13
O21,2024-04-01,P1040,SPO-FIT-1040,Sports,Fitness Equipment,3,5049.88,0.05,C3140,North,469,77,4,S10
O22,2024-04-01,P1013,HOM-COO-1013,Home & Kitchen,Cookware,6,3651.71,0.0,C5754,North,82,51,17,S3
O23,2024-04-01,P1006,ELE-AUD-1006,Electronics,Audio,1,5262.29,0.0,C5521,South,403,30,16,S3
O24,2024-04-01,P1002,ELE-WEA-1002,Electronics,Wearables,1,6070.27,0.0,C3598,EAST,369,42,5,S8
O25,2024-04-01,P1046,SPO-FIT-1046,Sports,Fitness Equipment,2,867.48,0.1,C3807,South,149,49,11,S5
O26,2024-04-01,P1014,HOM-STO-1014,Home & Kitchen,Storage,1,2620.09,0.15,C1887,South,81,62,17,S12
O27,2024-04-01,P1028,FAS-FOO-1028,Fashion,Footwear,12,858.36,0.05,C575,West,238,43,16,S12
O28,2024-04-01,P1016,HOM-COO-1016,Home & Kitchen,Cookware,4,1354.19,0.0,C1773,West,348,33,6,S13
O29,2024-04-01,P1015,HOM-SMA-1015,Home & Kitchen,Small Appliances,1,3275.72,0.2,C820,North,332,59,8,S14
O30,2024-04-01,P1046,SPO-FIT-1046,Sports,Fitness Equipment,1,815.11,0.0,C5383,West,408,27,11,S5
O31,2024-04-01,P1018,HOM-SMA-1018,Home & Kitchen,Small Appliances,2,6007.7,0.0,C4920,West,310,77,11,S9
O32,2024-04-01,P1033,BEA-HAI-1033,Beauty,Haircare,1,7598.66,0.1,C1432,West,426,60,15,S8
O33,2024-04-01,P1042,SPO-FIT-1042,Sports,Fitness Equipment,1,1277.51,0.0,C4185,West,262,50,4,S11
O34,2024-04-01,P1030,BEA-SKI-1030,Beauty,Skincare,8,5373.58,0.0,C3781,West,240,61,11,S8
O35,2024-04-01,P1032,BEA-SKI-1032,Beauty,Skincare,1,926.09,0.0,C3552,West,240,31,5,S6
O36,2024-04-01,P1007,ELE-MOB-1007,Electronics,Mobile Accessories,3,7926.69,0.0,C3819,East,232,76,19,S7
O37,2024-04-01,P1040,SPO-FIT-1040,Sports,Fitness Equipment,2,5068.17,0.0,C5841,NORTH,84,21,4,S10
O38,2024-04-01,P1039,BEA-HAI-1039,Beauty,Haircare,4,3601.86,0.0,C1829,South,461,17,14,S5
O39,2024-04-01,P1036,BEA-SKI-1036,Beauty,Skincare,11,7139.41,0.0,C5771,West,266,51,11,S2
O40,2024-04-01,P1013,HOM-COO-1013,Home & Kitchen,Cookware,6,3455.3,0.0,C5319,West,414,18,17,S3
O41,2024-04-01,P1029,FAS-MEN-1029,Fashion,Men's Apparel,2,1493.3,0.0,C5417,West,27,60,12,S14
O42,2024-04-01,P1046,SPO-FIT-1046,Sports,Fitness Equipment,1,813.14,0.0,C5140,South,260,77,11,S5
O43,2024-04-01,P1031,BEA-HAI-1031,Beauty,Haircare,5,2426.94,0.0,C4050,East,120,45,14,S11
O44,2024-04-01,P1004,ELE-MOB-1004,Electronics,Mobile Accessories,6,6546.45,0.0,C983,North,421,64,10,S9
O45,2024-04-01,P1004,ELE-MOB-1004,Electronics,Mobile Accessories,2,6886.94,0.0,C5645,North,41,27,10,S9
O46,2024-04-01,P1026,FAS-MEN-1026,Fashion,Men's Apparel,3,6531.37,0.0,C1753,East,286,57,14,S15
O47,2024-04-01,P1023,FAS-MEN-1023,Fashion,Men's Apparel,2,1881.17,0.0,C5288,West,182,36,10,S5
